L,S,return,max_dd,return_to_dd,sharpe,trades
500,0.005,9604890.6,-406716.25,23.615704,2.4171462,5797
1000,0.005,6830612.5,-328448.75,20.796585,2.0330851,3988
2000,0.005,4869985.6,-248576.88,19.591467,1.7359164,2834
1500,0.005,5423723.8,-287344.38,18.875343,1.8385706,3263
3000,0.005,4002808.1,-234762.5,17.050458,1.5449016,2334
1000,0.01,5022416.2,-303227.5,16.563195,1.240604,2406.5
2500,0.005,4260941.9,-266557.5,15.985076,1.5796144,2551
1500,0.01,4021887.5,-265691.25,15.137448,1.1171406,1978.5
1000,0.015,4410797.5,-362274.37,12.175295,0.93122629,1722.5
3000,0.01,2881153.7,-244213.75,11.797672,0.92031072,1426.5
2000,0.01,3516322.5,-299701.25,11.732759,1.0352708,1728.5
1500,0.015,3796530.6,-327440,11.594584,0.89391276,1404.5
500,0.01,6845053.8,-591102.5,11.580147,1.4183564,3446.5
1000,0.02,4096662.5,-392152.5,10.446606,0.76393119,1340.5
2500,0.01,2995726.2,-298563.75,10.033791,0.9176612,1557.5
500,0.015,6040216.9,-709544.38,8.5128106,1.0616581,2451.5
500,0.02,5474387.5,-652207.5,8.3936286,0.85182813,1901.5
2000,0.015,3209476.3,-383945.62,8.3591947,0.80131417,1238.5
1500,0.02,3438002.5,-435962.5,7.8860051,0.71665116,1092.5
3000,0.015,2616651.9,-336787.5,7.7694448,0.71536686,1030.5
500,0.025,4799981.3,-683225,7.0254766,0.68077807,1560.5
1000,0.025,3529390.6,-526593.75,6.7023025,0.60120837,1092.5
2000,0.02,2950927.5,-467850,6.3074223,0.65527242,965.5
3000,0.02,2597192.5,-419225,6.1952233,0.63358817,801.5
2500,0.015,2608171.3,-425420.62,6.1308058,0.67819399,1125.5
1500,0.025,3073853.1,-520631.25,5.9040888,0.58335656,886.5
3000,0.025,2289209.4,-467059.37,4.9013241,0.5083203,656.5
2000,0.025,2575996.9,-528665.62,4.8726393,0.52161892,787.5
2500,0.025,2051712.5,-500121.87,4.102425,0.43139102,715.5
2500,0.02,2335760,-572600,4.0792176,0.53964886,879.5
